CPL:,,,,,
,,,,,
BotBoard,Mid X,Mid Y,Layer,Rotation,Bauteil
C1,20.43,97.17,Top,270,100n
C2,8.81,27.35,Top,0,10u
C3,13.57,27.42,Top,180,10u
C4,73.58,73.39,Top,0,10u
C5,73.58,70.53,Top,0,100n
C6,79.93,81.96,Top,90,10u
C7,79.3,87.36,Top,90,100n
C8,13.26,42.75,Top,0,10u
C9,8.34,42.75,Top,0,10u
IC1,66.92,78.79,Top,90,CP2102
LED1,23.73,97.2,Top,90,LED
R1,31.36,83.23,Top,270,5.1k
R2,27.23,83.23,Top,270,470
R6,27.23,77.52,Top,270,470
R7,7.86,49.58,Top,270,
R8,27.86,92.44,Top,270,
R9,58.34,87.84,Top,180,
R10,27.58,97.71,Top,0,
R14,24.69,54.02,Top,270,
R15,20.56,54.02,Top,270,
R33,31.36,77.52,Top,90,
R34,50.41,70.22,Top,0,
T1,13.58,55.93,Top,0,8050
T2,13.58,51.48,Top,0,8050
U1,45.64,83.3,Top,270,ESP
,,,,,
,,,,,
RemoteBoard,Mid X,Mid Y,Layer,Rotation,Bauteil
C1,32.86,48.3,Top,90,
C2,17.14,38.47,Top,180,
C3,14.92,42.77,Top,0,
C4,56.52,56.55,Top,90,
C5,52.07,61.64,Top,90,
C6,52.07,67.98,Top,270,
C7,52.07,73.06,Top,270,
C8,22.86,20.96,Top,270,
C9,22.86,15.88,Top,90,
IC1,43.82,66.08,Top,180,CP
LED1,10.79,82.19,Top,180,
R1,35.56,39.69,Top,90,5.1
R2,32.86,39.69,Top,270,470
R6,24.13,34.93,Top,90,470
R7,7.62,57.83,Top,90,12k
R8,27.94,40.01,Top,90,470
R9,23.81,40.01,Top,90,470
R10,3.49,73.98,Top,270,1k
R14,31.75,34.93,Top,90,12k
R15,10.16,51.32,Top,90,12k
R33,7.62,62.91,Top,270,12k
R34,52.07,56.55,Top,270,4.7
T1,5.71,48.22,Top,180,Transistor
T2,5.71,52.75,Top,0,Transistor
U1,23.36,68.15,Top,270,ESP
