Designator,Mid X,Mid Y,Layer,Rotation,
C1,32.86,48.3,Top,90,
C2,17.14,38.47,Top,180,
C3,17.14,42.64,Top,180,
C4,56.52,56.55,Top,90,
C5,52.07,61.64,Top,90,
C6,52.07,67.98,Top,270,
C7,52.07,73.06,Top,270,
C8,22.86,20.96,Top,270,
C9,22.86,15.88,Top,90,
IC1,43.82,66.08,Top,180,CP2102
J1,43.82,79.42,Top,90,MINI USB
LED1,10.79,82.19,Top,180,
R1,35.56,39.69,Top,90,
R2,32.7,39.69,Top,90,
R6,24.13,34.93,Top,90,
R7,7.62,57.83,Top,90,
R8,27.94,40.01,Top,90,
R9,23.81,40.01,Top,90,
R10,3.81,73.97,Top,90,
R14,31.75,34.93,Top,90,
R15,10.16,50.84,Top,90,
R33,7.62,62.91,Top,270,
R34,52.07,56.55,Top,270,
T1,5.71,48.22,Top,180,8050
T2,5.71,52.75,Top,0,8050
U1,23.36,68.4,Top,270,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,ESP
